                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71441,                 1.3154,                  1.189,                0.92173,                0.53671,                0.60215,                0.60813,                0.48434,                0.46962,                0.52688,                0.49808,                0.29697,                0.90469,                 6.7532,                 1.8975,                0.94252,                0.09505,                  5e-05,                  5e-05
                      2,                0.66426,                 1.2782,                0.85978,                0.90086,                0.34917,                0.43011,                0.30963,                0.24066,                0.17985,                0.23656,                0.11417,                0.05822,                 1.0248,                 20.115,                  1.904,                 1.0465,               0.089109,             0.00010891,             0.00010891
                      3,                0.71803,                 1.1194,                0.96861,                0.87197,                0.15319,                0.63441,                0.14225,                0.10324,                0.08604,                0.35484,                0.05218,                0.02433,                 1.0187,                 23.119,                 2.8782,                 1.0394,               0.083167,             0.00016663,             0.00016663
                      4,                0.69528,                 1.1629,                0.82843,                0.89429,                0.14691,                0.55914,                0.13688,                0.09813,                0.03891,                0.12903,                0.01693,                 0.0095,                 1.0439,                 39.496,                 2.8297,                 1.0527,               0.077223,             0.00022317,             0.00022317
                      5,                0.66948,                 1.0586,                0.78795,                0.89578,                0.19548,                 0.5914,                 0.1921,                 0.1335,                0.10333,                0.11828,                0.03328,                0.01474,                 1.0008,                 40.063,                 2.0528,                 1.0132,               0.071279,             0.00027852,             0.00027852
                      6,                0.70102,                 1.0488,                0.85186,                0.89646,                0.30719,                0.62936,                 0.3413,                0.24806,                0.17605,                0.34409,                0.15033,                0.08124,                0.96174,                 16.198,                 1.6279,                0.98674,               0.065333,             0.00033268,             0.00033268
                      7,                 0.6834,                 1.1191,                0.80055,                0.88071,                0.39003,                0.69892,                0.49195,                0.38492,                0.32345,                0.56989,                0.37114,                0.20199,                0.88568,                 7.3006,                 1.3238,                0.96514,               0.059386,             0.00038565,             0.00038565
                      8,                0.67981,                0.97813,                0.82491,                0.90347,                0.43151,                 0.7264,                0.54969,                0.44512,                0.38108,                0.63441,                0.46805,                0.25884,                0.85414,                 5.3464,                 1.2005,                 0.9535,               0.053437,             0.00043743,             0.00043743
                      9,                0.62762,                 1.0468,                 0.8142,                0.89669,                0.45884,                0.71114,                0.61347,                0.50338,                0.44412,                0.67742,                0.57711,                0.33361,                0.82381,                 4.1414,                 1.0991,                0.93461,               0.047488,             0.00048802,             0.00048802
                     10,                0.69738,                 1.0963,                0.92852,                0.89213,                0.45283,                0.74751,                0.64708,                0.53111,                0.45283,                0.74751,                0.64708,                   0.47,                0.79397,                  2.142,                 1.0607,                0.90883,               0.041537,             0.00053743,             0.00053743
                     11,                0.77358,                 1.0757,                0.89172,                0.89107,                0.45867,                0.84946,                0.66804,                0.54317,                0.45867,                0.84946,                0.66804,                0.52936,                0.77899,                 1.5932,                 1.0588,                0.89946,               0.035586,             0.00058565,             0.00058565
                     12,                0.67338,                 1.0123,                 0.8373,                0.88141,                  0.466,                 0.8172,                0.68041,                0.55454,                  0.466,                 0.8172,                0.68041,                0.58073,                0.76018,                 1.2087,                  1.061,                0.89315,               0.029633,             0.00063268,             0.00063268
                     13,                0.64779,                0.95125,                0.79502,                0.86792,                0.46312,                0.85334,                0.69268,                0.56696,                0.46312,                0.85334,                0.69268,                0.59869,                0.75319,                 1.0158,                 1.0619,                0.88951,               0.023679,             0.00067852,             0.00067852
                     14,                0.67773,                 1.0424,                0.74929,                0.91034,                0.47731,                0.87097,                0.70267,                 0.5771,                0.47731,                0.87097,                0.70418,                0.61123,                0.74675,                0.91948,                 1.0721,                0.88333,               0.017723,             0.00072318,             0.00072318
                     15,                0.63499,                 1.0221,                0.83121,                0.87541,                0.47731,                0.87097,                0.70267,                 0.5771,                0.47731,                0.87097,                0.70418,                0.61123,                0.74675,                0.91948,                 1.0721,                0.88333,               0.011767,             0.00076665,             0.00076665
                     16,                0.70501,                0.98763,                0.76939,                0.86829,                0.48675,                0.84946,                0.70641,                0.57561,                0.48675,                0.84946,                0.70846,                0.61371,                0.73801,                0.88477,                 1.1135,                0.87793,              0.0058089,             0.00080893,             0.00080893
                     17,                0.69511,                 1.1126,                0.83446,                0.91514,                0.50584,                0.78495,                0.70909,                0.58284,                0.50584,                0.78495,                0.71166,                0.61288,                0.72904,                 0.8644,                 1.1583,                0.87653,              0.0008416,              0.0008416,              0.0008416
                     18,                 0.6647,                0.99099,                0.77116,                0.89502,                0.51684,                0.80645,                0.71262,                0.58796,                0.51684,                0.80645,                0.71537,                0.62294,                0.72709,                 0.8366,                 1.2068,                 0.8766,              0.0008416,              0.0008416,              0.0008416
                     19,                 0.6926,                 1.0799,                0.90798,                0.89187,                0.51684,                0.80645,                0.71262,                0.58796,                0.51684,                0.80645,                0.71537,                0.62294,                0.72709,                 0.8366,                 1.2068,                 0.8766,              0.0008317,              0.0008317,              0.0008317
                     20,                0.65392,                 1.0486,                0.81498,                0.90106,                0.51692,                0.75269,                0.70754,                0.58939,                0.51692,                0.75269,                0.71011,                 0.6217,                0.72991,                 0.8125,                 1.3346,                0.87669,              0.0008218,              0.0008218,              0.0008218
                     21,                 0.6975,                 1.0617,                0.84421,                0.89382,                0.52266,                0.72043,                0.70504,                 0.5894,                0.52266,                0.72043,                0.70742,                0.62175,                0.72022,                0.79803,                 1.3612,                0.87271,              0.0008119,              0.0008119,              0.0008119
                     22,                0.67881,                 1.0867,                 0.8533,                0.90521,                0.74847,                0.54399,                  0.724,                0.60863,                0.74847,                0.54399,                0.72626,                0.63613,                0.71089,                 0.8074,                 1.3099,                0.86983,               0.000802,               0.000802,               0.000802
                     23,                0.67182,                 1.0376,                0.74592,                0.89559,                0.74847,                0.54399,                  0.724,                0.60863,                0.74847,                0.54399,                0.72626,                0.63613,                0.71089,                 0.8074,                 1.3099,                0.86983,              0.0007921,              0.0007921,              0.0007921
                     24,                0.62664,                 1.0068,                0.69514,                0.89752,                0.77282,                0.51214,                0.70757,                0.59278,                0.77282,                0.51214,                0.70961,                0.61856,                 0.7388,                0.81976,                 1.3183,                0.87623,              0.0007822,              0.0007822,              0.0007822
                     25,                0.66043,                 1.0559,                0.78012,                0.88308,                0.68899,                0.50538,                0.67409,                0.55088,                0.68899,                0.50538,                0.67608,                0.59636,                0.76822,                0.82191,                 1.3589,                0.88304,              0.0007723,              0.0007723,              0.0007723
                     26,                0.65326,                 1.0008,                0.76863,                0.88221,                0.55639,                0.54839,                0.61339,                 0.4966,                0.55639,                0.54839,                0.61537,                0.53566,                0.76971,                0.82112,                 1.3822,                0.88376,              0.0007624,              0.0007624,              0.0007624
                     27,                0.63302,                 1.0435,                0.75947,                0.91487,                0.55639,                0.54839,                0.61339,                 0.4966,                0.55639,                0.54839,                0.61537,                0.53566,                0.76971,                0.82112,                 1.3822,                0.88376,              0.0007525,              0.0007525,              0.0007525
                     28,                0.61132,                0.91556,                0.78315,                0.88854,                0.46486,                0.63441,                0.56637,                 0.4418,                0.46486,                0.63441,                0.56834,                0.49582,                0.78143,                0.81232,                 1.4352,                0.88518,              0.0007426,              0.0007426,              0.0007426
                     29,                0.70239,                 1.0094,                0.83815,                0.89575,                0.43935,                0.69892,                0.55697,                0.44265,                0.43935,                0.69892,                0.55898,                0.49009,                0.76134,                0.80534,                 1.4442,                0.87852,              0.0007327,              0.0007327,              0.0007327
                     30,                0.65363,                0.96043,                0.77669,                0.88764,                0.49794,                 0.6129,                0.62159,                0.51675,                0.49794,                 0.6129,                0.62395,                0.55335,                0.71963,                0.79569,                 1.3119,                0.86888,              0.0007228,              0.0007228,              0.0007228
