                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7788,                 3.3086,                 1.4367,                 1.4602,                0.58851,                0.69939,                0.64119,                0.30262,                  0.598,                0.71925,                0.66611,                0.40382,                 1.5725,                 2.1691,                 1.2816,                 1.1386,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.4662,                 2.6298,                 1.4547,                 1.1934,                0.61685,                0.70768,                 0.6895,                0.54925,                0.61526,                0.70585,                0.68805,                0.37296,                0.86776,                 1.8568,                 1.1279,                0.97329,              0.0012883,              0.0012883,              0.0012883
                      3,                 1.2113,                 2.4273,                   1.33,                 1.1039,                0.69879,                0.68498,                0.74404,                0.59502,                0.69942,                0.68186,                0.74605,                0.44036,                0.85327,                 2.1349,                 1.1942,                0.97325,              0.0019025,              0.0019025,              0.0019025
                      4,                 1.3191,                 2.4839,                  1.415,                 1.1702,                0.68579,                0.73443,                0.75053,                0.51445,                0.68903,                0.74359,                0.75655,                0.50114,                 1.1083,                 1.6956,                 1.1086,                 1.0273,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2242,                  2.376,                 1.3589,                 1.1199,                0.63474,                0.74176,                0.73937,                0.48996,                0.63631,                0.74359,                0.74031,                0.48763,                 1.0076,                 1.7281,                 1.1319,                0.98281,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2814,                 2.4865,                 1.3533,                 1.1224,                  0.618,                0.69037,                 0.7104,                0.37433,                0.62494,                 0.6958,                0.71631,                0.51693,                 1.2781,                 1.4593,                 1.2632,                 1.0444,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.179,                 2.3707,                 1.3342,                  1.074,                0.55258,                0.63553,                0.66346,                 0.5166,                0.55144,                0.63736,                0.66368,                0.40683,                0.88397,                 1.3172,                 1.3618,                0.94643,               0.001802,               0.001802,               0.001802
                      8,                 1.1402,                 2.3361,                 1.3252,                 1.0419,                0.62256,                0.61024,                0.70937,                0.60285,                0.62256,                0.61024,                0.70937,                 0.4357,                0.72762,                 1.2279,                 1.1086,                 0.9023,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0816,                 2.2163,                 1.2405,                 1.0301,                0.73733,                0.61722,                0.73285,                0.60824,                0.73733,                0.61722,                0.73361,                0.46769,                0.81179,                 1.2357,                 1.0613,                0.93013,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0973,                 2.1568,                 1.2747,                 1.0398,                0.75793,                0.72829,                0.80442,                0.67197,                0.75793,                0.72829,                0.80454,                0.52123,                 0.7882,                 1.2708,                0.97974,                0.92297,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0939,                 2.2237,                 1.2631,                 1.0384,                 0.6526,                0.65568,                0.72987,                0.53947,                0.65834,                 0.6685,                0.74038,                0.47141,                0.91986,                 1.3958,                 1.1951,                0.96067,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1376,                 2.1908,                 1.2498,                 1.0415,                0.70036,                0.80037,                0.82792,                0.70897,                0.70036,                0.80037,                0.82792,                0.50793,                0.67336,                 1.2043,                0.95194,                0.90265,               0.001604,               0.001604,               0.001604
                     13,                 1.0414,                 2.1745,                 1.2243,                 1.0192,                0.75285,                0.77547,                0.83047,                0.69044,                0.75285,                0.77547,                0.83047,                0.54435,                0.73111,                 1.1551,                0.86429,                0.91551,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0211,                 2.0898,                 1.1663,                 1.0072,                0.73725,                0.77083,                0.81917,                0.70012,                0.73725,                0.77083,                0.81905,                0.49084,                0.66717,                 1.1452,                 0.8979,                0.90491,              0.0015248,              0.0015248,              0.0015248
                     15,                0.94965,                 1.9599,                 1.1041,                 1.0001,                0.74178,                0.75092,                0.81085,                 0.6865,                0.74178,                0.75092,                0.81085,                0.46357,                0.67839,                 1.1666,                0.87507,                0.89659,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0233,                 2.0643,                 1.1149,                 1.0201,                0.74007,                0.77177,                0.82479,                0.70299,                0.74007,                0.77177,                0.82429,                0.50685,                0.65293,                 1.1767,                0.85437,                0.89604,              0.0014456,              0.0014456,              0.0014456
                     17,                0.96976,                 1.9875,                 1.1064,                0.99778,                0.74757,                 0.8022,                0.84472,                0.73457,                0.74757,                 0.8022,                 0.8449,                0.54053,                0.61108,                 1.0702,                 0.7822,                0.87632,               0.001406,               0.001406,               0.001406
                     18,                0.94168,                 1.9577,                 1.1034,                0.99565,                0.75706,                0.80952,                0.85542,                0.70394,                0.75706,                0.80952,                0.85542,                0.57915,                0.73861,                 1.0593,                0.78892,                0.90435,              0.0013664,              0.0013664,              0.0013664
                     19,                0.95262,                 1.9884,                 1.0573,                0.99043,                 0.7513,                0.80225,                0.85987,                0.75866,                 0.7513,                0.80225,                0.85987,                0.55554,                0.58678,                 1.0693,                0.79863,                0.87433,              0.0013268,              0.0013268,              0.0013268
                     20,                0.89489,                 1.9158,                  1.018,                0.96885,                0.77224,                0.78867,                 0.8626,                0.74184,                0.77224,                0.78867,                 0.8626,                0.54971,                0.65673,                 1.0425,                0.74953,                0.88768,              0.0012872,              0.0012872,              0.0012872
                     21,                0.87623,                 1.9529,                0.97374,                0.96599,                0.76848,                0.80037,                0.86502,                0.75881,                0.76848,                0.80037,                0.86502,                0.55396,                0.58001,                 1.0269,                0.77566,                0.87011,              0.0012476,              0.0012476,              0.0012476
                     22,                0.89876,                 1.8645,                0.98948,                0.98265,                 0.7561,                0.80054,                0.87187,                 0.7537,                 0.7561,                0.80054,                0.87187,                 0.5658,                0.61999,                 1.0358,                0.73315,                 0.8763,               0.001208,               0.001208,               0.001208
                     23,                0.89864,                 1.9401,                  1.009,                0.97715,                0.71342,                0.83436,                0.85393,                0.71887,                0.71342,                0.83436,                0.85384,                0.54622,                0.67421,                 1.0566,                0.77978,                 0.8877,              0.0011684,              0.0011684,              0.0011684
                     24,                0.91151,                 1.8846,                0.98488,                0.96834,                0.77414,                0.82863,                0.86934,                0.76873,                0.77414,                0.82863,                0.86934,                0.52702,                0.56064,                 1.0129,                0.73044,                0.86165,              0.0011288,              0.0011288,              0.0011288
