                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.88112,                  1.868,                0.95049,                0.97319,                0.76294,                0.82967,                0.86345,                0.74119,                0.76294,                0.82967,                0.86345,                0.57793,                0.64119,                 1.0246,                0.74854,                0.87695,              0.0010892,              0.0010892,              0.0010892
                     26,                0.86472,                 1.8119,                0.94118,                0.94881,                0.73136,                0.85165,                0.87106,                0.76605,                0.73136,                0.85165,                0.87106,                0.57618,                0.57022,                0.99528,                0.72572,                0.86444,              0.0010496,              0.0010496,              0.0010496
                     27,                0.87782,                  1.816,                 0.9601,                0.96878,                0.76683,                0.80037,                0.86475,                0.72897,                0.76683,                0.80037,                0.86475,                0.58382,                0.67792,                0.97718,                0.75657,                0.88657,                0.00101,                0.00101,                0.00101
                     28,                0.87271,                 1.7897,                0.93214,                 0.9591,                0.77783,                0.80791,                  0.877,                0.73165,                0.77783,                0.80791,                  0.877,                0.59341,                0.69476,                0.98937,                0.73217,                0.90056,              0.0009704,              0.0009704,              0.0009704
                     29,                0.87936,                  1.867,                0.96697,                0.96932,                0.80243,                0.77656,                 0.8676,                0.77296,                0.80243,                0.77656,                 0.8676,                0.55728,                0.53432,                0.99161,                 0.7068,                0.85671,              0.0009308,              0.0009308,              0.0009308
                     30,                0.82431,                 1.8183,                 0.9083,                0.95394,                0.74435,                0.85322,                0.87426,                0.77516,                0.74264,                0.85348,                0.87419,                0.56189,                0.55868,                 1.0117,                0.70961,                0.86101,              0.0008912,              0.0008912,              0.0008912
                     31,                0.81568,                 1.7728,                0.93998,                0.95587,                0.76503,                0.84432,                0.88394,                0.78877,                0.76337,                0.84249,                0.88392,                 0.5642,                 0.5441,                0.97804,                0.70001,                0.85753,              0.0008516,              0.0008516,              0.0008516
                     32,                0.88212,                  1.797,                0.96474,                0.96354,                0.78263,                0.82051,                0.88789,                0.78905,                0.78263,                0.82051,                0.88789,                0.56352,                0.55882,                0.99827,                 0.6916,                0.85669,               0.000812,               0.000812,               0.000812
                     33,                 0.8704,                 1.8081,                0.90344,                0.96064,                0.77427,                0.82967,                0.88548,                0.72278,                0.77427,                0.82967,                0.88548,                 0.6035,                0.76535,                 1.0043,                0.73343,                0.89369,              0.0007724,              0.0007724,              0.0007724
                     34,                0.87074,                 1.7708,                0.91022,                 0.9485,                0.77657,                0.83392,                0.88561,                0.74965,                0.77657,                0.83392,                0.88561,                0.59646,                0.68204,                0.98284,                0.71594,                0.87598,              0.0007328,              0.0007328,              0.0007328
                     35,                0.85389,                  1.772,                0.90263,                0.94952,                0.77728,                0.83516,                 0.8855,                0.78978,                0.77728,                0.83516,                 0.8854,                0.56204,                0.55511,                0.96828,                0.68026,                0.85631,              0.0006932,              0.0006932,              0.0006932
                     36,                0.82812,                 1.7208,                0.89502,                0.95565,                0.79407,                0.81922,                0.89103,                0.79779,                0.79407,                0.81922,                0.89056,                0.55959,                0.52447,                0.95444,                0.66848,                0.85114,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.7861,                 1.7459,                0.89249,                0.93999,                0.80179,                0.81494,                0.88569,                0.77742,                0.80359,                0.81677,                0.88604,                 0.5763,                0.56829,                0.94905,                0.68482,                 0.8607,               0.000614,               0.000614,               0.000614
                     38,                0.79652,                 1.6451,                0.88028,                0.94808,                0.79046,                0.82418,                0.88019,                0.79445,                0.79046,                0.82418,                0.88019,                0.55688,                0.50768,                0.93858,                0.66316,                0.84819,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79591,                 1.7245,                0.85892,                0.94173,                0.79453,                0.80952,                0.88226,                0.77259,                0.79453,                0.80952,                0.88226,                0.56722,                0.57847,                0.94732,                0.67263,                0.85891,              0.0005348,              0.0005348,              0.0005348
                     40,                0.82765,                 1.6989,                0.85729,                0.93839,                0.82357,                0.78655,                0.88313,                0.75788,                0.82549,                0.78838,                0.88351,                0.58549,                0.64252,                0.94911,                0.68666,                0.86811,              0.0004952,              0.0004952,              0.0004952
                     41,                0.81092,                 1.7411,                0.96615,                0.95269,                0.77887,                0.82051,                0.88127,                0.78107,                0.77887,                0.82051,                0.88127,                 0.5753,                0.56243,                0.94217,                0.67539,                0.85282,              0.0004556,              0.0004556,              0.0004556
                     42,                  0.818,                 1.8285,                0.95945,                0.97213,                0.78348,                0.81319,                0.88202,                0.79016,                0.78348,                0.81319,                0.88202,                0.56874,                0.52439,                0.94713,                0.68434,                0.84482,               0.000416,               0.000416,               0.000416
                     43,                0.74494,                 1.6317,                0.88852,                0.93942,                 0.8043,                 0.8054,                0.88802,                0.79757,                 0.8043,                 0.8054,                0.88802,                0.57252,                0.52456,                0.93806,                0.66543,                0.84517,              0.0003764,              0.0003764,              0.0003764
                     44,                0.78794,                 1.6586,                0.91303,                0.94127,                0.81779,                0.79853,                  0.891,                  0.803,                0.81779,                0.79853,                  0.891,                0.56954,                0.51772,                 0.9298,                0.66179,                0.84386,              0.0003368,              0.0003368,              0.0003368
                     45,                0.79045,                 1.7179,                0.91673,                0.96177,                0.77837,                 0.8315,                 0.8902,                0.80382,                0.77837,                 0.8315,                 0.8902,                0.56183,                0.50989,                 0.9252,                0.66663,                0.84378,              0.0002972,              0.0002972,              0.0002972
                     46,                0.74409,                 1.6191,                0.87129,                0.93607,                0.78889,                0.83333,                0.88972,                0.80044,                0.78889,                0.83333,                0.88972,                 0.5611,                0.51976,                0.92241,                0.65814,                 0.8463,              0.0002576,              0.0002576,              0.0002576
                     47,                0.75252,                 1.6121,                0.87164,                0.93924,                0.78731,                0.82601,                0.89158,                0.79667,                0.78731,                0.82601,                0.89158,                0.56957,                0.53868,                0.91783,                0.64859,                0.84942,               0.000218,               0.000218,               0.000218
                     48,                0.73519,                 1.6242,                0.87145,                0.92071,                0.79861,                0.81685,                0.89296,                0.79257,                0.79861,                0.81685,                0.89296,                 0.5785,                0.54905,                0.91644,                0.64746,                0.85107,              0.0001784,              0.0001784,              0.0001784
                     49,                0.74323,                 1.6607,                0.86134,                0.93661,                0.80441,                0.82234,                 0.8939,                0.79172,                 0.8062,                0.82418,                0.89456,                0.58246,                0.55382,                0.92238,                 0.6511,                0.85058,              0.0001388,              0.0001388,              0.0001388
                     50,                0.73733,                 1.6475,                0.88369,                0.94145,                0.80676,                0.82234,                0.89336,                 0.7994,                0.80855,                0.82418,                0.89381,                0.57803,                0.52977,                0.91815,                0.64337,                 0.8466,               9.92e-05,               9.92e-05,               9.92e-05
