                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66172,                 1.2023,                0.81197,                0.89163,                 0.8841,                0.79504,                0.82796,                0.64629,                0.78629,                0.70248,                0.70457,                0.32805,                  1.124,                 4.6911,                 2.1333,                 1.0617,               0.092001,                  8e-07,                  8e-07
                      2,                0.69944,                 1.2015,                0.64548,                0.88201,                0.93956,                 0.7708,                0.82896,                0.65426,                0.10147,                0.10165,                0.02365,                0.00796,                 1.0996,                 17.824,                 2.2675,                 1.0715,               0.083002,             1.6916e-06,             1.6916e-06
                      3,                0.65337,                 1.1586,                0.58343,                0.88049,                 0.9519,                0.75236,                0.82582,                0.66565,                0.40265,                0.33719,                0.18467,                0.06262,                 1.0881,                 10.566,                 1.8384,                 1.1166,               0.074003,             2.5743e-06,             2.5743e-06
                      4,                0.60618,                 1.1009,                0.65798,                0.87073,                0.95382,                0.75537,                0.82868,                0.67655,                0.65549,                0.54215,                 0.4406,                0.18023,                 1.0702,                 8.0192,                 1.4259,                 1.1617,               0.065003,              3.448e-06,              3.448e-06
                      5,                0.63045,                 1.1038,                 0.5505,                0.87239,                0.95444,                0.75868,                0.83213,                0.68492,                0.88829,                0.71322,                0.74828,                0.36379,                 1.0615,                 6.0377,                 1.2094,                 1.1851,               0.056004,             4.3129e-06,             4.3129e-06
                      6,                0.63926,                 1.1036,                0.58741,                0.87704,                0.94958,                0.76269,                0.83402,                0.69014,                0.94544,                0.75907,                0.83129,                0.54799,                 1.0718,                 4.8219,                 1.1092,                 1.2154,               0.047005,             5.1688e-06,             5.1688e-06
                      7,                0.62157,                 1.1056,                0.54991,                 0.8769,                0.93824,                 0.7562,                0.83181,                 0.6909,                0.93824,                 0.7562,                0.83582,                0.69333,                 1.0799,                 3.7778,                  1.109,                 1.2635,               0.038006,             6.0159e-06,             6.0159e-06
                      8,                0.62997,                 1.0998,                0.61922,                0.87855,                0.93322,                0.73884,                0.82671,                0.68705,                0.93394,                0.73884,                0.83024,                0.73432,                 1.0864,                 3.3981,                 1.1087,                 1.3015,               0.029007,              6.854e-06,              6.854e-06
                      9,                0.65281,                 1.0877,                0.63073,                0.87828,                0.93315,                0.73884,                0.82526,                0.68562,                0.93315,                0.73884,                0.82901,                0.74158,                 1.0899,                 3.3111,                  1.125,                 1.3171,               0.020008,             7.6832e-06,             7.6832e-06
                     10,                0.62602,                 1.1055,                0.57092,                0.88058,                0.91869,                 0.7314,                0.82112,                0.68197,                0.92045,                 0.7314,                 0.8256,                0.74289,                 1.0929,                 3.2643,                 1.1429,                 1.3303,               0.011009,             8.5035e-06,             8.5035e-06
